demo,pc_index,explained_var_ratio,loss,init_entropy,final_entropy,final_circ_std_bins,target_entropy,target_circ_std_bins,loss_broad_perbin,loss_sharp_perbin,frac_increase_sharp_over_broad,entropy_lambda,mean_perbin_entropy,trial_entropy,trial_circ_std_bins,target,final_far_mode_mass,target_far_mode_mass,candidate,PCA,KL,JS,Wasserstein,cand_entropy,cand_sigma,cand_shift_bins
basis,0,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,1,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,2,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,3,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,4,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,5,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,6,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,7,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,8,3.4649572626221925e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,9,3.46495580743067e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,10,4.950433662997966e-07,,,,,,,,,,,,,,,,,,,,,,,,
basis,11,4.950432526129589e-07,,,,,,,,,,,,,,,,,,,,,,,,
bimodal_evolution,,,KL,,3.8987910747528076,,3.8988170395669757,,,,,,,,,,0.46013152599334717,0.4601264603880069,,,,,,,,
bimodal_evolution,,,JS,,3.8987133502960205,,3.8988170395669757,,,,,,,,,,0.46013128757476807,0.4601264603880069,,,,,,,,
scorecard,,,,,,,,,,,,,,,,broad unimodal (sigma=12),,,exact,0.0,0.0,0.0,0.0,3.90255723742233,,
scorecard,,,,,,,,,,,,,,,,broad unimodal (sigma=12),,,too sharp,0.22075530555763193,5.708377361297607,0.3406386375427246,8.00119686126709,2.112085713735245,,
scorecard,,,,,,,,,,,,,,,,broad unimodal (sigma=12),,,too broad,0.14558149292053363,0.2594418525695801,0.07442903518676758,7.391992568969727,4.404187123228682,,
scorecard,,,,,,,,,,,,,,,,broad unimodal (sigma=12),,,shifted +8,0.13886609873215078,0.22086334228515625,0.052417755126953125,7.930582046508789,3.90255723742233,,
scorecard,,,,,,,,,,,,,,,,broad unimodal (sigma=12),,,uniform,0.4225135909372153,0.608302116394043,0.1696479320526123,13.1839599609375,4.510859506425849,,
scorecard,,,,,,,,,,,,,,,,narrow unimodal (sigma=4),,,exact,0.0,0.0,0.0,0.0,2.805232894266559,,
scorecard,,,,,,,,,,,,,,,,narrow unimodal (sigma=4),,,too sharp,0.007031154219921647,1.7977015972137451,0.15866148471832275,2.023405075073242,1.8244036412906692,,
scorecard,,,,,,,,,,,,,,,,narrow unimodal (sigma=4),,,too broad,0.16122915792062015,0.6540200710296631,0.18645036220550537,6.388429641723633,3.90255723742233,,
scorecard,,,,,,,,,,,,,,,,narrow unimodal (sigma=4),,,shifted +6,0.27403650382860356,1.1246051788330078,0.22117018699645996,6.0,2.8052328942665588,,
scorecard,,,,,,,,,,,,,,,,narrow unimodal (sigma=4),,,uniform,0.9530559014371652,1.7056210041046143,0.4157067537307739,19.5723876953125,4.510859506425849,,
scorecard,,,,,,,,,,,,,,,,bimodal (30 / 65),,,exact,0.0,0.0,0.0,0.0,3.8988170395669757,,
scorecard,,,,,,,,,,,,,,,,bimodal (30 / 65),,,one mode only,0.6517391140943873,5.290927886962891,0.2139730453491211,17.499542236328125,3.2106980023455964,,
scorecard,,,,,,,,,,,,,,,,bimodal (30 / 65),,,broad covers both,0.10734219655429017,0.4275085926055908,0.11822164058685303,5.254100322723389,4.255995636205738,,
scorecard,,,,,,,,,,,,,,,,bimodal (30 / 65),,,sharp bimodal,0.01565300429675094,2.260432481765747,0.18649089336395264,3.2079174518585205,2.8052328942665463,,
scorecard,,,,,,,,,,,,,,,,bimodal (30 / 65),,,uniform,0.16296324904159473,0.6120421886444092,0.1715031862258911,7.73269510269165,4.510859506425849,,
scorecard,,,,,,,,,,,,,,,,skewed,,,exact,0.0,0.0,0.0,0.0,3.7839654519819628,,
scorecard,,,,,,,,,,,,,,,,skewed,,,symmetric narrow,0.27828629952382256,2.6748054027557373,0.18067872524261475,7.9071760177612305,2.805232894266559,,
